,updateDate,code,code_name
353,2020-12-28,sz.002093,国脉科技
354,2020-12-28,sz.002110,三钢闽光
355,2020-12-28,sz.002124,天邦股份
356,2020-12-28,sz.002128,露天煤业
357,2020-12-28,sz.002131,利欧股份
358,2020-12-28,sz.002138,顺络电子
359,2020-12-28,sz.002152,广电运通
360,2020-12-28,sz.002155,湖南黄金
361,2020-12-28,sz.002156,通富微电
362,2020-12-28,sz.002174,游族网络
363,2020-12-28,sz.002183,怡亚通
364,2020-12-28,sz.002185,华天科技
365,2020-12-28,sz.002191,劲嘉股份
366,2020-12-28,sz.002195,二三四五
367,2020-12-28,sz.002203,海亮股份
368,2020-12-28,sz.002212,天融信
369,2020-12-28,sz.002217,合力泰
370,2020-12-28,sz.002221,东华能源
371,2020-12-28,sz.002223,鱼跃医疗
372,2020-12-28,sz.002233,塔牌集团
373,2020-12-28,sz.002242,九阳股份
374,2020-12-28,sz.002244,滨江集团
375,2020-12-28,sz.002249,大洋电机
376,2020-12-28,sz.002250,联化科技
377,2020-12-28,sz.002266,浙富控股
378,2020-12-28,sz.002268,卫士通
379,2020-12-28,sz.002273,水晶光电
380,2020-12-28,sz.002281,光迅科技
381,2020-12-28,sz.002294,信立泰
382,2020-12-28,sz.002299,圣农发展
383,2020-12-28,sz.002302,西部建设
384,2020-12-28,sz.002317,众生药业
385,2020-12-28,sz.002340,格林美
386,2020-12-28,sz.002353,杰瑞股份
387,2020-12-28,sz.002368,太极股份
388,2020-12-28,sz.002372,伟星新材
389,2020-12-28,sz.002373,千方科技
390,2020-12-28,sz.002375,亚厦股份
391,2020-12-28,sz.002382,蓝帆医疗
392,2020-12-28,sz.002385,大北农
393,2020-12-28,sz.002387,维信诺
394,2020-12-28,sz.002390,信邦制药
395,2020-12-28,sz.002396,星网锐捷
396,2020-12-28,sz.002399,海普瑞
397,2020-12-28,sz.002408,齐翔腾达
398,2020-12-28,sz.002416,爱施德
399,2020-12-28,sz.002419,天虹股份
400,2020-12-28,sz.002423,中粮资本
401,2020-12-28,sz.002424,贵州百灵
402,2020-12-28,sz.002429,兆驰股份
403,2020-12-28,sz.002434,万里扬
404,2020-12-28,sz.002440,闰土股份
405,2020-12-28,sz.002444,巨星科技
406,2020-12-28,sz.002458,益生股份
407,2020-12-28,sz.002465,海格通信
408,2020-12-28,sz.002468,申通快递
409,2020-12-28,sz.002500,山西证券
410,2020-12-28,sz.002503,搜于特
411,2020-12-28,sz.002505,大康农业
412,2020-12-28,sz.002506,协鑫集成
413,2020-12-28,sz.002507,涪陵榨菜
414,2020-12-28,sz.002511,中顺洁柔
415,2020-12-28,sz.002544,杰赛科技
416,2020-12-28,sz.002557,洽洽食品
417,2020-12-28,sz.002563,森马服饰
418,2020-12-28,sz.002568,百润股份
419,2020-12-28,sz.002572,索菲亚
420,2020-12-28,sz.002583,海能达
421,2020-12-28,sz.002589,瑞康医药
422,2020-12-28,sz.002595,豪迈科技
423,2020-12-28,sz.002603,以岭药业
424,2020-12-28,sz.002625,光启技术
425,2020-12-28,sz.002635,安洁科技
426,2020-12-28,sz.002640,跨境通
427,2020-12-28,sz.002648,卫星石化
428,2020-12-28,sz.002653,海思科
429,2020-12-28,sz.002670,国盛金控
430,2020-12-28,sz.002683,宏大爆破
431,2020-12-28,sz.002690,美亚光电
432,2020-12-28,sz.002701,奥瑞金
433,2020-12-28,sz.002705,新宝股份
434,2020-12-28,sz.002709,天赐材料
435,2020-12-28,sz.002745,木林森
436,2020-12-28,sz.002791,坚朗五金
